date	open_issues	closed_issues	open_prs	closed_prs	ranking	area - admin	area - analytics	area - creation	area - general	area - iqp	area - library	area - markbook	area - marking	area - notifications	area - onboarding	area - student learning	area - users
2014-03-24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-03-25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-03-26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-03-27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-03-28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-03-29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-03-30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-03-31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-02	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-03	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-04	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-05	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-06	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-07	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-08	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-22	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-04-30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-02	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-03	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-04	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-05	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-06	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-07	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-08	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-22	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-05-31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-02	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-03	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-04	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-05	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-06	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-07	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-08	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-22	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-06-30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-02	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-03	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-04	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-05	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-06	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-07	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-08	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-22	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-07-31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-02	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-03	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-04	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-05	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-06	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-07	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-08	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-09	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-16	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-17	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-18	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-19	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-20	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-21	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-22	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-23	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-24	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-25	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-26	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-27	6	6	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-28	7	9	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-29	5	11	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-30	3	14	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
2014-08-31	8	15	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-01	7	18	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-02	12	18	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-03	13	23	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-04	12	29	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-05	16	34	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-06	18	34	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-07	18	34	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-08	22	35	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-09	27	41	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-10	19	52	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-11	19	52	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-12	19	52	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-13	19	52	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-14	19	52	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-15	19	52	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-16	18	53	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-17	18	53	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-18	35	59	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-19	33	67	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-20	33	67	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-21	33	67	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-22	33	67	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-23	34	68	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-24	34	68	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-25	34	68	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-26	31	73	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-27	31	73	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-28	31	73	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-29	31	73	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0
2014-09-30	32	73	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-01	34	73	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-02	34	73	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-03	34	73	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-04	34	73	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-05	34	73	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-06	34	73	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-07	35	73	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-08	35	73	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-09	38	76	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-10	40	76	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-11	36	81	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-12	36	81	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-13	36	81	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-14	37	82	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-15	37	82	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-16	37	82	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-17	38	82	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-18	39	82	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-19	39	82	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-20	39	82	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-21	39	82	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-22	41	83	0	1	22	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-23	41	84	0	1	22	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-24	24	102	0	1	23	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-25	19	108	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-26	20	108	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-27	18	110	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-28	19	110	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-29	21	110	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-30	21	110	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0
2014-10-31	19	113	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-01	18	116	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-02	18	116	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-03	18	116	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-04	19	117	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-05	19	117	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-06	19	117	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-07	18	118	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-08	18	118	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-09	18	118	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-10	18	118	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-11	19	118	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-12	19	118	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-13	19	118	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-14	22	118	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-15	22	118	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-16	22	118	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-17	22	118	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-18	22	118	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-19	22	118	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-20	22	118	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-21	22	118	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-22	23	118	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-23	23	118	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-24	26	120	0	1	22	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-25	28	120	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-26	28	121	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-27	30	121	0	1	26	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-28	32	125	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-29	33	125	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0
2014-11-30	33	125	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-01	33	125	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-02	34	127	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-03	33	132	0	1	27	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-04	34	137	0	1	27	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-05	35	137	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-06	36	137	0	1	29	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-07	36	137	0	1	29	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-08	36	137	0	1	29	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-09	38	137	0	1	31	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-10	37	140	0	1	30	0	0	0	0	0	0	0	0	0	0	0	0
2014-12-11	42	140	0	1	34	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-12	46	142	0	1	36	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-13	48	142	0	1	38	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-14	48	142	0	1	38	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-15	48	142	0	1	38	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-16	52	149	0	1	41	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-17	46	156	0	1	35	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-18	39	163	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-19	39	164	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-20	39	164	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-21	39	164	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-22	39	164	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-23	39	164	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-24	39	164	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-25	39	164	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-26	39	164	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-27	39	164	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-28	39	164	0	1	29	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-29	40	164	0	1	30	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-30	40	164	0	1	30	0	0	1	0	0	0	0	0	0	0	0	0
2014-12-31	40	164	0	1	30	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-01	40	164	0	1	30	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-02	40	164	0	1	30	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-03	40	164	0	1	30	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-04	40	164	0	1	30	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-05	40	164	0	1	30	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-06	41	164	0	1	31	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-07	41	164	0	1	31	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-08	41	165	0	1	31	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-09	42	166	0	1	32	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-10	42	166	0	1	32	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-11	42	166	0	1	32	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-12	42	166	0	1	32	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-13	42	166	0	1	32	0	0	1	0	0	0	0	0	0	0	0	0
2015-01-14	42	166	0	1	32	0	0	1	0	0	0	0	0	0	0	0	0
